"Datum";"kWh";"kW";"Status";
"22.03.2025 00:00";0,06;0,24;"VALID";
"22.03.2025 00:15";0,063;0,252;"VALID";
"22.03.2025 00:30";0,059;0,236;"VALID";
"22.03.2025 00:45";0,068;0,272;"VALID";
"22.03.2025 01:00";0,065;0,26;"VALID";
"22.03.2025 01:15";0,064;0,256;"VALID";
"22.03.2025 01:30";0,059;0,236;"VALID";
"22.03.2025 01:45";0,062;0,248;"VALID";
"22.03.2025 02:00";0,066;0,264;"VALID";
"22.03.2025 02:15";0,066;0,264;"VALID";
"22.03.2025 02:30";0,059;0,236;"VALID";
"22.03.2025 02:45";0,062;0,248;"VALID";
"22.03.2025 03:00";0,061;0,244;"VALID";
"22.03.2025 03:15";0,068;0,272;"VALID";
"22.03.2025 03:30";0,065;0,26;"VALID";
"22.03.2025 03:45";0,056;0,224;"VALID";
"22.03.2025 04:00";0,07;0,28;"VALID";
"22.03.2025 04:15";0,066;0,264;"VALID";
"22.03.2025 04:30";0,072;0,288;"VALID";
"22.03.2025 04:45";0,063;0,252;"VALID";
"22.03.2025 05:00";0,077;0,308;"VALID";
"22.03.2025 05:15";0,177;0,708;"VALID";
"22.03.2025 05:30";0,135;0,54;"VALID";
"22.03.2025 05:45";0,138;0,552;"VALID";
"22.03.2025 06:00";0,144;0,576;"VALID";
"22.03.2025 06:15";0,171;0,684;"VALID";
"22.03.2025 06:30";0,111;0,444;"VALID";
"22.03.2025 06:45";0,152;0,608;"VALID";
"22.03.2025 07:00";0,079;0,316;"VALID";
"22.03.2025 07:15";0,167;0,668;"VALID";
"22.03.2025 07:30";0,082;0,328;"VALID";
"22.03.2025 07:45";0,373;1,492;"VALID";
"22.03.2025 08:00";0,311;1,244;"VALID";
"22.03.2025 08:15";0,414;1,656;"VALID";
"22.03.2025 08:30";0,135;0,54;"VALID";
"22.03.2025 08:45";0,236;0,944;"VALID";
"22.03.2025 09:00";0,435;1,74;"VALID";
"22.03.2025 09:15";0,378;1,512;"VALID";
"22.03.2025 09:30";0,099;0,396;"VALID";
"22.03.2025 09:45";0,006;0,024;"VALID";
"22.03.2025 10:00";0,056;0,224;"VALID";
"22.03.2025 10:15";0,068;0,272;"VALID";
"22.03.2025 10:30";0,014;0,056;"VALID";
"22.03.2025 10:45";0,016;0,064;"VALID";
"22.03.2025 11:00";0,007;0,028;"VALID";
"22.03.2025 11:15";0,005;0,02;"VALID";
"22.03.2025 11:30";0,003;0,012;"VALID";
